COUNTRY,COUNTRY_CODE,YEAR,Partyfacs_ID,ABBREVIATION,PARTY_NAME_ENGLISH,PARTY_NAME,FOUNDED,PERSON,WIKIPEDIA,WEBSITE_NATIONAL,WEBSITE_NATIONAL_SUBPAGE_EU,WEBSITE_EU,WEBSITE_EUGROUP_SUBPAGE,EU_GROUP,TWITTER_NATIONAL,FB_NATIONAL,INSTA_NATIONAL,TIKTOK_NATIONAL,TIKTOK_NAT_DISPLAY_NAME,YT_NATIONAL,TWITTER_EU,FB_EU,INSTA_EU,TIKTOK_EU,TIKTOK_EU_DISPLAY_NAME,YT_EU,YT_EU_BIO_HANDLE,YT_EU_ID
Croatia,4,2019,253,HSP,Croatian Party of Rights,Neovisni za Hrvatsku-Hrvatska stranka prava,1990,NA,https://en.wikipedia.org/wiki/Croatian_Party_of_Rights,https://hsp.hr/,NA,NA,NA,NA,NA,hsp.hrvatska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,72,HSS,Croatian Democratic Peasant Party,Hrvatska seljačka stranka,1994,NA,https://en.wikipedia.org/wiki/Croatian_Democratic_Peasant_Party,https://www.hdss.hr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,3918,IDS,Istrian Democratic Assembly,Istarski demokratski sabor/Dieta democratica Istriana,1990,NA,https://en.wikipedia.org/wiki/Istrian_Democratic_Assembly,https://www.ids-ddi.com,https://www.ids-ddi.com/vijesti/europa/,NA,https://www.reneweuropegroup.eu/parties/istarski-demokratski-sabor-dieta-democratica-istriana,Renew,@IDSDDI,idsddi,idsddi,NA,NA,@IDSDDI,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,4865,Most,Bridge of Independent Lists,Most nezavisnih lista,2012,NA,https://en.wikipedia.org/wiki/The_Bridge_(Croatia),https://www.natvojojstrani.com/,NA,NA,NA,NA,MostHrvatska,MostHrvatska,Most_nl,NA,NA,@MostHrvatska,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,3918,Možemo,Možemo,We Can! – Political Platform,2019,NA,https://en.wikipedia.org/wiki/We_can!_(Croatia),https://mozemo.hr/,https://mozemo.hr/program-mozemo-za-europske-izbore-2024/,NA,NA,NA,@mozemoHR,mozemo.hr,mozemohr,@platformamozemo,Možemo!,@mozemohr,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2019,3918,ORaH,Green Alternative – Sustainable Development of Croatia,Zelena alternativa - Održivi razvoj Hrvatske,2013,NA,https://en.wikipedia.org/wiki/Green_Alternative_%E2%80%93_Sustainable_Development_of_Croatia,https://za-orah.hr/,NA,NA,NA,NA,ORAHrvatske,1.00075964933025E14,za_orah,NA,NA,@zelenaalternativa-orah6276,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,NA,PiP,Law and Justice,Pravo i Pravda,2024,NA,https://en.wikipedia.org/wiki/Law_and_Justice_(Croatia),https://pravoipravda.hr/,NA,NA,NA,NA,@mislavkolakusic,sudacmislavkolakusic,mislavkolakusicmep,@mislavkolakusic,"Mislav Kolakušić
",@mislavkolakusicmep,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,NA,REPUBLIKA,Republic,Republika (Damir Vanđelić); Res Publika,2023,NA,https://en.wikipedia.org/wiki/Republic_(Croatian_political_party),https://republika.hr/,NA,NA,NA,NA,NA,strankarepublika,re_publika,@strankarepublika,Stranka Republika,@StrankaRepublika2024,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,NA,RF,Workers' Front,Radnička Fronta,2014,NA,https://en.wikipedia.org/wiki/Workers%27_Front_(Croatia),https://www.radnickafronta.hr/hr/,NA,NA,NA,NA,@Radnicka_Fronta,RadnickaFronta,radnicka_fronta,@radnickafronta,Radnička Fronta,@Radnickafronta,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,1475,SDP,Social Democratic Party of Croatia,Socijaldemokratska partija Hrvatske,1990,NA,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Croatia,http://www.sdp.hr,http://www.sdp.hr/nasi-ljudi/zastupnici-u-europskom-parlamentu/,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@SDPHrvatske,sdphrvatske,sdp.hr,NA,NA,@SDPHrvatske,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,3918,NA,Bloc for Croatia,Blok za Hrvatsku,2019,NA,https://en.wikipedia.org/wiki/Bloc_for_Croatia,https://blokzahrvatsku.hr/,NA,NA,NA,NA,NA,blokzahrvatsku,NA,NA,NA,@blokzahrvatsku6216,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,NA,NA,Centre Party,Centar,2015,NA,https://en.wikipedia.org/wiki/Centre_(Croatian_political_party),https://www.strankacentar.hr/,NA,NA,NA,NA,@CentarStranka,centarstranka,stranka_centar,@stranka.centar,stranka Centar,@strankacentar13,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,5,2024,1076,AKEL,Progressive Party of Working People,Anorthotiko Komma Ergazomenou Laou_AKEL,1926,NA,https://en.wikipedia.org/wiki/Progressive_Party_of_Working_People,https://www.akel.org.cy,https://akel.org.cy/%ce%b5%cf%85%cf%81%cf%89%ce%b2%ce%bf%cf%85%ce%bb%ce%b5%cf%85%cf%84%ce%ad%cf%82/,NA,https://left.eu/groups/delegation/akel/,GUE-NGL,@AKEL1926,AKEL1926,akel1926,NA,NA,@akel1926,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,5,2024,635,DIKO,Democratic Party,Dimokratiko Komma_DIKO,1976,NA,https://en.wikipedia.org/wiki/Democratic_Party_(Cyprus),https://democraticparty.org.cy,https://democraticparty.org.cy/elections/,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@DIKO1976,diko1976,diko1976,NA,NA,@diko1976,NA,NA,NA,NA,NA,NA,NA,NA
